# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.1006023440618313,4.738179904931239,0.006511389213300336,0,3.0,0.01837950957889697,0.0,0.0,0.0
 0.08966571572089553,2.1126622548475638,4.738181275481985,0.006511389213300336,0.2689971471626865,2.999999999999999,0.01837950957889697,0.0,0.3407587871854959,0.0
 0.12711937474370702,2.124841346447694,4.738185372475924,0.019274052637572682,0.3813581242311209,2.9999999999999982,0.017705913013272696,0.0,0.4288595753973594,0.0
 0.15606903667429445,2.1371386577266236,4.738192173925615,0.03168939236102151,0.46820711002288323,3.000000000000001,0.017064670641566637,0.0,0.4914980535835419,0.0
 0.1806486271879489,2.1495532275487506,4.738201657843609,0.04377021325636317,0.5419458815638467,3.0000000000000036,0.016453828640745925,0.0,0.5392331188467746,0.0
 0.20245454283531425,2.1620840947784754,4.738213802242463,0.05552868516020166,0.6073636285059427,3.0,0.01587157464373982,0.0,0.5767532581195551,0.0
 0.22230305892932384,2.174730298280199,4.738228585134729,0.06697638148626012,0.6669091767879715,2.9999999999999987,0.015316224297162596,0.0,0.6067052015893103,0.0
 0.2406776066503293,2.187490876918321,4.738245984532966,0.07812431516544514,0.7220328199509879,3.0000000000000013,0.014786212437638308,0.0,0.6307823752100598,0.0
 0.25789219153107945,2.2003648695572418,4.738265978449727,0.0889829719047799,0.7736765745932382,2.999999999999995,0.014280080980964234,0.0,0.6501562982549033,0.0
 0.2741642315473586,2.21335131506136,4.738288544897565,0.0995623412068196,0.8224926946420756,3.0,0.013796472313844824,0.0,0.6656818847168104,0.0
 0.28965151487740964,2.2264492522950765,4.7383136618890385,0.10987194516311123,0.8689545446322289,3.0000000000000036,0.013334120676071514,0.0,0.6780075934135855,0.0
 0.30447276491792785,2.239657720122792,4.738341307436699,0.11992086523446399,0.9134182947537834,2.9999999999999964,0.012891844575212202,0.0,0.6876398299935146,0.0
 0.3187199065883266,2.252975757408905,4.738371459553105,0.1297177673105905,0.9561597197649797,3.0,0.01246854117118128,0.0,0.6949831054261683,0.0
 0.33246579128088727,2.2664024030178167,4.738404096250808,0.13927092494105633,0.9973973738426617,3.0,0.012063180354146014,0.0,0.7003664087127862,0.0
 0.34576927940137614,2.279936695813927,4.738439195542364,0.14858824113935634,1.0373078382041283,3.0,0.011674797028548877,0.0,0.7040612310223999,0.0
 0.35867870708014493,2.293577674661636,4.7384767354403285,0.15767726868266493,1.0760361212404348,3.0000000000000084,0.011302488619786819,0.0,0.7062943177102518,0.0
 0.37123432331232115,2.3073243784253425,4.738516693957256,0.16654522908280162,1.1137029699369634,2.9999999999999956,0.01094541038070244,0.0,0.7072569506070864,0.0
 0.38347004794696926,2.321175845969448,4.738559049105701,0.17519903037637083,1.1504101438409078,3.0000000000000044,0.010602768808449027,0.0,0.7071118595055578,0.0
 0.39541476821344557,2.335131116158352,4.738603778898219,0.1836452837352726,1.1862443046403366,2.9999999999999907,0.010273821374127736,0.0,0.7059984846825558,0.0
 0.4070933135637345,2.3491892278564546,4.738650861347364,0.19189031905587312,1.2212799406912034,2.999999999999995,0.009957869556988795,0.0,0.7040370496213851,0.0
 0.4185272011953456,2.363349219928155,4.7387002744656925,0.19994019956973502,1.2555816035860368,3.0000000000000147,0.009654257735921613,0.0,0.7013317597111148,0.0
 0.42973521484196875,2.377610131237854,4.738751996265758,0.20780073550338743,1.2892056445259064,3.0000000000000098,0.009362369712133004,0.0,0.6979733640057129,0.0
 0.44073386019416755,2.391971000649952,4.738806004760115,0.21547749699936744,1.3222015805825027,2.999999999999995,0.009081626256013777,0.0,0.6940412044973976,0.0
 0.4515377275929154,2.406430867028848,4.73886227796132,0.22297582614202455,1.354613182778746,2.9999999999999796,0.008811480635795125,0.0,0.6896049027365072,0.0
 0.46215978403760016,2.420988769238943,4.738920793881927,0.2303008483434231,1.3864793521128003,2.9999999999999947,0.008551420303356812,0.0,0.6847257371958971,0.0
 0.4726116106186553,2.435643746144636,4.73898153053449,0.23745748300417974,1.4178348318559657,3.0,0.008300958847480892,0.0,0.6794577931850847,0.0
 0.4829035973215069,2.4503948366103283,4.739044465931565,0.24445045357678952,1.4487107919645204,2.9999999999999893,0.008059641951441977,0.0,0.6738489201979848,0.0
 0.4930451041786698,2.465241079500419,4.739109578085708,0.2512842970216692,1.4791353125360092,3.0000000000000053,0.007827037213257806,0.0,0.6679415383736221,0.0
 0.5030445955971541,2.480181513679308,4.739176845009471,0.25796337270268543,1.509133786791462,3.0000000000000058,0.007602737559993332,0.0,0.6617733312760695,0.0
 0.5129097531112486,2.4952151780113954,4.739246244715411,0.26449187085435094,1.5387292593337458,3.000000000000011,0.0073863595125343825,0.0,0.6553778149855457,0.0
 0.5226475706394105,2.510341111361081,4.739317755216082,0.2708738204286856,1.5679427119182312,2.9999999999999885,0.007177539233436625,0.0,0.6487848529093675,0.0
 0.5322644354440108,2.5255583525927663,4.739391354524041,0.2771130966463875,1.5967933063320323,3.0000000000000115,0.006975934017348764,0.0,0.6420210735272661,0.0
 0.541766197324611,2.54086594057085,4.739467020651838,0.2832134280093708,1.6252985919738328,3.0,0.006781217182944277,0.0,0.6351102550449599,0.0
 0.5511582280632539,2.5562629141597317,4.739544731612033,0.28917840304718045,1.6534746841897614,2.999999999999988,0.006593082436269839,0.0,0.6280736308989637,0.0
